Name,Constituency,Party
"Platt, Joÿ(Labour (Co-op))",Leigh,Labour (Co-op)
"Pollard, Lukeÿ(Labour (Co-op))","Plymouth, Sutton and Devonport",Labour (Co-op)
"Poulter, Dr Danÿ(Conservative)",Central Suffolk and North Ipswich,Conservative
"Pound, Stephenÿ(Labour)",Ealing North,Labour
"Pow, Rebeccaÿ(Conservative)",Taunton Deane,Conservative
"Powell, Lucyÿ(Labour (Co-op))",Manchester Central,Labour (Co-op)
"Prentis, Victoriaÿ(Conservative)",Banbury,Conservative
"Prisk, Mr Markÿ(Conservative)",Hertford and Stortford,Conservative
"Pritchard, Markÿ(Conservative)",The Wrekin,Conservative
"Pursglove, Tomÿ(Conservative)",Corby,Conservative
"Quin, Jeremyÿ(Conservative)",Horsham,Conservative
"Quince, Willÿ(Conservative)",Colchester,Conservative
"Qureshi, Yasminÿ(Labour)",Bolton South East,Labour
"Raab, Dominicÿ(Conservative)",Esher and Walton,Conservative
"Rashid, Faisalÿ(Labour)",Warrington South,Labour
"Rayner, Angelaÿ(Labour)",Ashton-under-Lyne,Labour
"Redwood, Johnÿ(Conservative)",Wokingham,Conservative
"Reed, Mr Steveÿ(Labour (Co-op))",Croydon North,Labour (Co-op)
"Rees, Christinaÿ(Labour (Co-op))",Neath,Labour (Co-op)
