Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA1 4XY,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/1997 12:00:00 AM,4/1/2014 12:00:00 AM,57
HA1 4XZ,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1998 12:00:00 AM,7/1/2000 12:00:00 AM,58
HA1 4YA,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1999 12:00:00 AM,1/1/2001 12:00:00 AM,58
HA1 4YB,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1998 12:00:00 AM,11/1/2000 12:00:00 AM,58
HA1 4YD,Yes,51.58345,-0.357898,513871,188454,TQ138884,12/1/1981 12:00:00 AM,,56
HA1 4YE,Yes,51.583628,-0.358368,513838,188473,TQ138884,12/1/1981 12:00:00 AM,,55
HA1 4YF,No,51.580736,-0.347142,514623,188169,TQ146881,4/1/1986 12:00:00 AM,10/1/2000 12:00:00 AM,65
HA1 4YG,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1998 12:00:00 AM,11/1/2000 12:00:00 AM,58
HA1 4YH,No,51.583722,-0.349054,514483,188498,TQ144884,6/1/1997 12:00:00 AM,9/1/2000 12:00:00 AM,58
HA1 4YJ,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,58
HA1 4YL,Yes,51.581025,-0.345948,514705,188203,TQ147882,9/1/1981 12:00:00 AM,,65
HA1 4YN,Yes,51.581134,-0.345352,514746,188216,TQ147882,9/1/1981 12:00:00 AM,,64
HA1 4YP,No,51.58104,-0.348906,514500,188200,TQ145882,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,63
HA1 4YQ,Yes,51.585228,-0.329687,515821,188696,TQ158886,7/1/2004 12:00:00 AM,,57
HA1 4YR,No,51.58104,-0.348906,514500,188200,TQ145882,1/1/1995 12:00:00 AM,7/1/1995 12:00:00 AM,63
HA1 4YS,No,51.583459,-0.357912,513870,188455,TQ138884,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,56
HA1 4YT,No,51.583722,-0.349054,514483,188498,TQ144884,12/1/1995 12:00:00 AM,11/1/2000 12:00:00 AM,58
HA1 4YU,Yes,51.585228,-0.329687,515821,188696,TQ158886,6/1/1996 12:00:00 AM,,57
HA1 4YW,Yes,51.581032,-0.347694,514584,188201,TQ145882,10/1/1985 12:00:00 AM,,64
HA1 4YX,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/1996 12:00:00 AM,8/1/2009 12:00:00 AM,57
HA1 4YY,Yes,51.585228,-0.329687,515821,188696,TQ158886,12/1/1996 12:00:00 AM,,57
HA1 4YZ,No,51.585237,-0.329686,515821,188697,TQ158886,7/1/2004 12:00:00 AM,1/1/2006 12:00:00 AM,57
HA1 4ZA,No,51.585237,-0.329686,515821,188697,TQ158886,7/1/2004 12:00:00 AM,5/1/2013 12:00:00 AM,57
HA1 4ZB,No,51.585237,-0.329686,515821,188697,TQ158886,10/1/2008 12:00:00 AM,8/1/2011 12:00:00 AM,57
HA1 4ZD,Yes,51.585228,-0.329687,515821,188696,TQ158886,5/1/2003 12:00:00 AM,,57
HA1 4ZE,No,51.585237,-0.329686,515821,188697,TQ158886,10/1/2003 12:00:00 AM,3/1/2006 12:00:00 AM,57
HA1 4ZF,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/2004 12:00:00 AM,8/1/2005 12:00:00 AM,57
HA1 4ZG,No,51.585237,-0.329686,515821,188697,TQ158886,2/1/2003 12:00:00 AM,3/1/2003 12:00:00 AM,57
HA1 4ZH,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/2003 12:00:00 AM,7/1/2003 12:00:00 AM,57
HA1 4ZJ,No,51.585237,-0.329686,515821,188697,TQ158886,11/1/2002 12:00:00 AM,2/1/2006 12:00:00 AM,57
HA1 4ZL,No,51.585237,-0.329686,515821,188697,TQ158886,5/1/2003 12:00:00 AM,3/1/2009 12:00:00 AM,57
HA1 4ZN,No,51.585237,-0.329686,515821,188697,TQ158886,12/1/2002 12:00:00 AM,4/1/2009 12:00:00 AM,57
HA1 4ZP,No,51.585237,-0.329686,515821,188697,TQ158886,4/1/2003 12:00:00 AM,7/1/2004 12:00:00 AM,57
HA1 4ZQ,No,51.585237,-0.329686,515821,188697,TQ158886,12/1/2002 12:00:00 AM,11/1/2003 12:00:00 AM,57
HA1 4ZR,No,51.585237,-0.329686,515821,188697,TQ158886,3/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,57
HA1 4ZT,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2003 12:00:00 AM,1/1/2006 12:00:00 AM,57
HA1 4ZU,Yes,51.585228,-0.329687,515821,188696,TQ158886,4/1/2003 12:00:00 AM,,57
HA1 4ZX,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/2003 12:00:00 AM,11/1/2003 12:00:00 AM,57
HA1 4ZZ,Yes,51.585228,-0.329687,515821,188696,TQ158886,3/1/2004 12:00:00 AM,,57
HA1 9AB,Yes,51.585228,-0.329687,515821,188696,TQ158886,9/1/2004 12:00:00 AM,,57
HA1 9AD,No,51.585237,-0.329686,515821,188697,TQ158886,9/1/2004 12:00:00 AM,10/1/2006 12:00:00 AM,57
HA1 9AE,No,51.585237,-0.329686,515821,188697,TQ158886,9/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,57
HA1 9AF,No,51.585237,-0.329686,515821,188697,TQ158886,10/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,57
HA1 9AG,No,51.585237,-0.329686,515821,188697,TQ158886,11/1/2004 12:00:00 AM,12/1/2010 12:00:00 AM,57
HA1 9AH,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,57
HA1 9AJ,No,51.588971,-0.334284,515493,189105,TQ154891,11/1/2004 12:00:00 AM,11/1/2005 12:00:00 AM,58
HA1 9AL,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,57
HA1 9AN,No,51.585237,-0.329686,515821,188697,TQ158886,11/1/2004 12:00:00 AM,3/1/2006 12:00:00 AM,57
HA1 9AP,No,51.585237,-0.329686,515821,188697,TQ158886,11/1/2004 12:00:00 AM,1/1/2007 12:00:00 AM,57
HA1 9AQ,No,51.585237,-0.329686,515821,188697,TQ158886,1/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,57
HA1 9AR,No,51.585237,-0.329686,515821,188697,TQ158886,2/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,57
HA1 9AS,No,51.585237,-0.329686,515821,188697,TQ158886,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,57
HA1 9AT,No,51.585237,-0.329686,515821,188697,TQ158886,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,57
HA1 9AU,No,51.585237,-0.329686,515821,188697,TQ158886,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,57
