Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB5 6US,No,51.534063,-0.388252,511889,182915,TQ118829,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,35,,
UB5 6UT,Yes,51.537208,-0.373794,512884,183287,TQ128832,6/1/1981 12:00:00 AM,,35,63,23
UB5 6UU,No,51.537302,-0.372118,513000,183300,TQ130832,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,35,,
UB5 6UW,Yes,51.537604,-0.372482,512974,183333,TQ129833,6/1/1981 12:00:00 AM,,35,110,41
UB5 6UX,No,51.534063,-0.388252,511889,182915,TQ118829,12/1/1999 12:00:00 AM,2/1/2001 12:00:00 AM,35,,
UB5 6UY,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/2000 12:00:00 AM,3/1/2002 12:00:00 AM,42,,
UB5 6UZ,Yes,51.546772,-0.370915,513060,184355,TQ130843,12/1/2000 12:00:00 AM,,42,,
UB5 6WA,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/2001 12:00:00 AM,11/1/2003 12:00:00 AM,42,,
UB5 6WB,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/2001 12:00:00 AM,2/1/2003 12:00:00 AM,42,,
UB5 6WD,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/2001 12:00:00 AM,9/1/2009 12:00:00 AM,42,,
UB5 6WE,No,51.546772,-0.370915,513060,184355,TQ130843,12/1/2001 12:00:00 AM,9/1/2009 12:00:00 AM,42,,
UB5 6WF,No,51.546772,-0.370915,513060,184355,TQ130843,1/1/2002 12:00:00 AM,5/1/2002 12:00:00 AM,42,,
UB5 6WG,No,51.546772,-0.370915,513060,184355,TQ130843,6/1/2002 12:00:00 AM,6/1/2003 12:00:00 AM,42,,
UB5 6WH,No,51.546772,-0.370915,513060,184355,TQ130843,11/1/2004 12:00:00 AM,9/1/2009 12:00:00 AM,42,,
UB5 6WJ,No,51.546772,-0.370915,513060,184355,TQ130843,9/1/2010 12:00:00 AM,10/1/2016 12:00:00 AM,42,,
UB5 6WL,Yes,51.531514,-0.376261,512727,182650,TQ127826,3/1/2010 12:00:00 AM,,32,,
UB5 6WN,No,51.546772,-0.370915,513060,184355,TQ130843,7/1/2004 12:00:00 AM,8/1/2006 12:00:00 AM,42,,
UB5 6WP,Yes,51.53166,-0.388799,511857,182647,TQ118826,8/1/2011 12:00:00 AM,,33,,
UB5 6WQ,No,51.546772,-0.370915,513060,184355,TQ130843,1/1/2004 12:00:00 AM,4/1/2006 12:00:00 AM,42,,
UB5 6WR,No,51.546772,-0.370915,513060,184355,TQ130843,6/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,42,,
UB5 6WS,Yes,51.531935,-0.375496,512779,182698,TQ127826,11/1/2012 12:00:00 AM,,33,,
UB5 6WT,Yes,51.532499,-0.375303,512791,182761,TQ127827,12/1/2012 12:00:00 AM,,33,,
UB5 6WU,Yes,51.532804,-0.388297,511889,182775,TQ118827,5/1/2015 12:00:00 AM,,34,,
UB5 6WX,No,51.546772,-0.370915,513060,184355,TQ130843,7/1/2002 12:00:00 AM,11/1/2006 12:00:00 AM,42,,
UB5 6WY,No,51.546772,-0.370915,513060,184355,TQ130843,8/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,42,,
UB5 6WZ,No,51.546772,-0.370915,513060,184355,TQ130843,7/1/2003 12:00:00 AM,10/1/2005 12:00:00 AM,42,,
UB5 6XA,Yes,51.531966,-0.380988,512398,182693,TQ123826,6/1/1981 12:00:00 AM,,31,186,57
UB5 6XB,Yes,51.531275,-0.382397,512302,182614,TQ123826,6/1/1981 12:00:00 AM,,32,183,60
