Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
IG1 4AX,Yes,51.564439,0.083426,544506,187119,TQ445871,8/1/1993 12:00:00 AM,,14,71,23
IG1 4AY,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2001 12:00:00 AM,3/1/2002 12:00:00 AM,16,,
IG1 4AZ,Yes,51.566039,0.088507,544853,187307,TQ448873,5/1/2002 12:00:00 AM,,15,209,79
IG1 4BA,Yes,51.564846,0.08483,544602,187167,TQ446871,8/1/1993 12:00:00 AM,,14,83,25
IG1 4BB,Yes,51.564375,0.084506,544581,187114,TQ445871,8/1/1993 12:00:00 AM,,14,68,23
IG1 4BD,Yes,51.563773,0.083944,544544,187046,TQ445870,8/1/1993 12:00:00 AM,,13,81,23
IG1 4BE,Yes,51.563944,0.085467,544649,187068,TQ446870,8/1/1993 12:00:00 AM,,13,60,17
IG1 4BF,Yes,51.564145,0.085823,544673,187091,TQ446870,8/1/1993 12:00:00 AM,,14,129,37
IG1 4BG,Yes,51.560799,0.073666,543841,186695,TQ438866,1/1/1980 12:00:00 AM,,20,94,34
IG1 4BH,Yes,51.56133,0.075652,543977,186758,TQ439867,1/1/1980 12:00:00 AM,,15,85,31
IG1 4BJ,No,51.56179,0.076611,544042,186811,TQ440868,12/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,14,,
IG1 4BL,Yes,51.562241,0.077654,544113,186863,TQ441868,1/1/1980 12:00:00 AM,,14,130,41
IG1 4BN,Yes,51.563341,0.080546,544310,186991,TQ443869,1/1/1980 12:00:00 AM,,14,95,28
IG1 4BP,Yes,51.563052,0.080477,544306,186959,TQ443869,1/1/1980 12:00:00 AM,,14,130,41
IG1 4BQ,Yes,51.560979,0.074669,543910,186717,TQ439867,1/1/1980 12:00:00 AM,,17,23,11
IG1 4BS,Yes,51.563724,0.082643,544454,187038,TQ444870,1/1/1980 12:00:00 AM,,13,1,1
IG1 4BT,Yes,51.560462,0.074949,543931,186660,TQ439866,9/1/2004 12:00:00 AM,,17,83,31
